Iteration,Final Position [m],Pitch Angle @ Touchdown [deg],Mass of N2 Used [kg],"Center Engine Offset Translation (in x,y,z) [cm]_1","Center Engine Offset Translation (in x,y,z) [cm]_2","Center Engine Offset Translation (in x,y,z) [cm]_3","Center Engine Offset Angle (from x,y,z axis) [deg]_1","Center Engine Offset Angle (from x,y,z axis) [deg]_2","Center Engine Offset Angle (from x,y,z axis) [deg]_3",Steady Wind Velocity [Knotts],Wind Direction (from x-axis in x-y plane) [deg],Wind Gust Coefficient,Wind Gust Duration [sec],Wind Gust Begin [sec],Wind Gust End [sec],Cm Offset Value,"MOI (in x,y,z) [kg*m^2]_1","MOI (in x,y,z) [kg*m^2]_2","MOI (in x,y,z) [kg*m^2]_3"
1,19.0772504450522,1.9233313860998,3.89070909300541,0.670324966362493,0,0,90,90,-0.0877719615755742,10.8552223192508,-61.9756018426826,1.10388646204698,9.98600786182855,10.4880292888991,20.4740371507276,0.00548096619172926,14.3771142505173,13.9589751268613,19.5632857835972
2,19.6980819269282,0.483251432313251,3.89004241378696,-0.630500943301131,0,0,90,90,0.769458280985371,10.0139994435176,-171.435828228082,1.7839627049917,6.26982674270368,10.207139116787,16.4769658594907,-0.0548345621416508,11.2838886396916,11.7341422804198,21.5916890895274
3,17.8018146905715,2.11269911474535,3.75702368780523,-0.118410158183048,0,0,90,90,-0.513052445910174,12.0764929200598,-177.418608661496,1.52889957843372,16.5410927526821,11.4519260369633,27.9930187896454,-0.00475011252875393,13.9561296806677,13.3174067524146,17.233803138861
4,19.5664084325575,4.25192328881209,4.42160487901914,0.242064583885595,0,0,90,90,0.456510879971176,10.6244176066139,109.271457388902,1.85392173567647,11.8659624912593,17.8681796562685,29.7341421475278,-0.0912837563276863,11.8540115605644,12.326707503026,14.5449926215864
5,19.7281324715361,0.280399924997935,4.29996352419649,-0.376084625175072,0,0,90,90,0.749294756509472,6.78183805088128,-92.6824058709529,1.57640375508294,10.835122611679,7.49800305926435,18.3331256709434,0.0627000689572049,10.8689962330059,10.1066067218709,18.9320562799128
6,19.8325044869498,0.598403335953253,4.11704778081767,0.280444406708918,0,0,90,90,1.92670305099941,4.60018686110481,105.324690833103,1.65706656975467,9.11785245298951,19.3601677816653,28.4780202346548,-0.0600355117722637,10.8205925419299,11.5460398171778,15.6748286186959
7,19.9087980650067,1.01689232524333,4.39402009252029,-1.77445214219279,0,0,90,90,-0.0863629318186451,9.89064154599694,107.63991028252,1.62788604759869,13.0200542288539,7.06572502510533,20.0857792539593,0.00462943407787453,10.3660413553446,11.2126962028165,18.6396370898385
8,18.6434508577203,1.71108726971673,4.42827412770258,0.458577814692303,0,0,90,90,-0.184105894470271,12.8054662442545,-106.18938375976,1.01323734844828,10.2293259414943,3.67886257321347,13.9081885147078,0.0456777160790701,12.2882659670503,10.8436663817883,18.2177646769377
9,19.8405942921523,0.707081312998176,3.96113517837859,0.461822889552566,0,0,90,90,0.0882298389118415,2.98625490923407,-2.98508171973935,1.11659081477755,13.5199244869864,11.3011934660335,24.8211179530198,-0.088350302721446,10.5301898480456,11.8367298070019,16.872471816539
10,19.8091480770262,0.389882945052951,4.15393926625087,-0.0011874865519806,0,0,90,90,0.0742069489248523,4.93709594311393,126.01685120282,1.36501853292091,9.4688906191154,13.867314636357,23.3362052554724,-0.0157940261277503,10.0726456801709,12.3638123635793,19.5509950450732
11,20.137795193829,-0.280620588205537,4.04103899485826,-0.352938753897831,0,0,90,90,-0.17089676030903,2.82885066015355,45.2441057312271,1.33122821586008,9.19368280047279,10.3923613482593,19.5860441487321,-0.0840834106904035,11.0412752616478,13.7009620269904,16.9242247055923
12,19.5769953494222,-0.144195957715323,4.21874487491786,-0.432991255729624,0,0,90,90,1.87502568002635,5.45951506624242,-102.678420270445,1.73391452080357,11.4682069848293,14.1561992589416,25.624406243771,0.00270676459333672,10.7102960240945,9.73766788688423,18.3108386560763
13,20.5066571448536,-0.740110732079802,4.41220704526088,-1.70477410382486,0,0,90,90,1.23861998790518,4.69440177906891,170.198461587233,1.2821138089782,12.1541055080527,18.1129977400625,30.2671032481153,0.0131971739759308,12.5082472665068,13.1237948342829,17.7746435670838
14,18.946112162509,2.07295263923548,4.38564576345467,1.09571673703715,0,0,90,90,-0.518873115239513,13.0098494420646,13.2786780101848,0.975761938084508,9.25792878267923,17.5384884637711,26.7964172464504,-0.0412705121972379,11.8954227913238,10.7108781655856,14.4939325179426
15,19.535381593581,0.80758943311333,3.98257111408445,0.635772115763336,0,0,90,90,0.827610455095904,5.86973978343242,120.47062109799,1.53794382401847,12.6049231281514,5.35229397276712,17.9572171009186,0.0737168486648523,14.0589773809715,13.3483655460166,15.3441472803664
16,20.2789458505351,-0.486472177968119,3.81606931329261,-1.08718431755049,0,0,90,90,1.24398335696988,5.08796330531138,113.599329365361,1.50438767910376,10.0554529538422,18.4091116182908,28.4645645721329,0.047232902865346,11.6730073555004,12.8554466130095,19.4182451663458
17,20.5008533244987,1.558724468198,4.25993113414905,-1.47726543033051,0,0,90,90,-0.933343628275961,10.0677307122246,19.738155243711,2.3946129644692,9.47722205185323,3.78731540017327,13.2645374520265,0.0326798319764252,12.5340484818122,10.380446799403,17.277058788752
18,19.5785264710064,1.95622136754261,4.20005658247555,-0.385249414734962,0,0,90,90,-1.07252943142995,11.4300012617534,-25.7298847468733,1.95683259106872,9.04321651915521,4.76660060511684,13.8098171242721,0.0924047816205461,9.96559243358162,10.8001636674678,15.9900076445152
19,19.4405013775215,0.789171116947533,4.05750286690884,0.680836657566823,0,0,90,90,-0.345410147581,4.21617174382687,-74.7699965351912,1.63543361814423,11.9585344861333,10.7685268599607,22.727061346094,0.077576437397568,9.72062935859486,14.281806542347,15.2058236228368
20,19.5935791027188,1.11203738705884,4.21330502267554,0.832649348688285,0,0,90,90,0.230047259862801,5.80442976730314,108.955178779346,1.82864642460603,12.5922945627899,2.67471428765264,15.2670088504426,0.0856837631212603,10.2414214583045,13.3050148048232,17.5081198621372
21,19.5696622706182,0.784296172433709,4.14316786277962,0.534598236622478,0,0,90,90,0.119508942622215,6.03041078277178,175.955232621593,1.30116595181991,12.4274378256675,4.54613291258456,16.9735707382521,0.0425398282056834,10.3101704513684,13.6697622171856,16.5525465973166
